ey_variant,panel_type,lag_rule,earnings_growth,payout,dividend_from,rmse_since_1960,rmse_since_1985,n_since_1960,n_since_1985,target_rmse_1960,target_rmse_1985,distance_to_target
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current,avg_forecast_ey,0.05024887886073315,0.055246091136082455,676,376,0.041,0.032,0.025018443462525155
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current,avg_forecast_ey,0.05024887886073315,0.055246091136082455,676,376,0.041,0.032,0.025018443462525155
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current,terminal_ey,0.04989181077839769,0.05541182021824757,676,376,0.041,0.032,0.02504351462655302
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current,terminal_ey,0.04989181077839769,0.05541182021824757,676,376,0.041,0.032,0.02504351462655302
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,current,current_ey,0.05151550304630774,0.05503784134694379,676,376,0.041,0.032,0.02532425592675647
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,current,current_ey,0.05151550304630774,0.05503784134694379,676,376,0.041,0.032,0.02532425592675647
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,rolling_10y,terminal_ey,0.051042247495651775,0.05807100175013175,676,376,0.041,0.032,0.027938215172399562
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,rolling_10y,terminal_ey,0.051042247495651775,0.05807100175013175,676,376,0.041,0.032,0.027938215172399562
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,rolling_10y,avg_forecast_ey,0.051445023952124594,0.05799693032638221,676,376,0.041,0.032,0.028016761264557818
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,rolling_10y,avg_forecast_ey,0.051445023952124594,0.05799693032638221,676,376,0.041,0.032,0.028016761264557818
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_30y,rolling_10y,current_ey,0.0527931603070812,0.05791104816263636,676,376,0.041,0.032,0.028468597557922953
ey_from_exp_log_ey,mixed_diff,aic12,rolling_30y,rolling_10y,current_ey,0.0527931603070812,0.05791104816263636,676,376,0.041,0.032,0.028468597557922953
ey_from_exp_log_ey,levels,aic12,rolling_30y,current,terminal_ey,0.051995558707131316,0.06231808830550674,676,376,0.041,0.032,0.03225040759095109
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current,terminal_ey,0.051995558707131316,0.06231808830550674,676,376,0.041,0.032,0.03225040759095109
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current,terminal_ey,0.051995558707132246,0.06231808830550933,676,376,0.041,0.032,0.03225040759095384
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current,current_ey,0.059389838642280625,0.05978737347806241,676,376,0.041,0.032,0.03332152892798354
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current,current_ey,0.059389838642280625,0.05978737347806241,676,376,0.041,0.032,0.03332152892798354
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current,avg_forecast_ey,0.058437428951123985,0.06083913816197429,676,376,0.041,0.032,0.033701035864657614
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current,avg_forecast_ey,0.058437428951123985,0.06083913816197429,676,376,0.041,0.032,0.033701035864657614
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,current,terminal_ey,0.05827628315005595,0.06132188275831127,676,376,0.041,0.032,0.0340329659003305
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,current,terminal_ey,0.05827628315005595,0.06132188275831127,676,376,0.041,0.032,0.0340329659003305
ey_from_exp_log_ey,levels,aic12,rolling_30y,rolling_10y,terminal_ey,0.0532840071844447,0.06398562930358623,676,376,0.041,0.032,0.03426335235282623
ey_from_exp_log_ey,levels,fixed12,rolling_30y,rolling_10y,terminal_ey,0.0532840071844447,0.06398562930358623,676,376,0.041,0.032,0.03426335235282623
ey_from_cape_lag_e,levels,fixed12,rolling_30y,rolling_10y,terminal_ey,0.05328400718444583,0.06398562930358948,676,376,0.041,0.032,0.034263352352829665
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current,avg_forecast_ey,0.053665043802404416,0.06406042817792773,676,376,0.041,0.032,0.03447135607238109
ey_from_exp_log_ey,levels,aic12,rolling_30y,current,avg_forecast_ey,0.053665043802404416,0.06406042817792773,676,376,0.041,0.032,0.03447135607238109
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current,avg_forecast_ey,0.05366504380240575,0.06406042817793009,676,376,0.041,0.032,0.034471356072383774
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,rolling_10y,current_ey,0.05931729359317468,0.061411486876293796,676,376,0.041,0.032,0.03464908086591851
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,rolling_10y,current_ey,0.05931729359317468,0.061411486876293796,676,376,0.041,0.032,0.03464908086591851
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,rolling_10y,avg_forecast_ey,0.05825525542490889,0.062343081920754356,676,376,0.041,0.032,0.03490625245179519
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,rolling_10y,avg_forecast_ey,0.05825525542490889,0.062343081920754356,676,376,0.041,0.032,0.03490625245179519
ey_from_exp_log_ey,mixed_diff,fixed12,hist_avg,rolling_10y,terminal_ey,0.058071698080381,0.06278401630821165,676,376,0.041,0.032,0.03520083145909944
ey_from_exp_log_ey,mixed_diff,aic12,hist_avg,rolling_10y,terminal_ey,0.058071698080381,0.06278401630821165,676,376,0.041,0.032,0.03520083145909944
ey_from_exp_log_ey,levels,aic12,rolling_30y,rolling_10y,avg_forecast_ey,0.055018585060122686,0.06576382384505629,676,376,0.041,0.032,0.03655839886712609
ey_from_exp_log_ey,levels,fixed12,rolling_30y,rolling_10y,avg_forecast_ey,0.055018585060122686,0.06576382384505629,676,376,0.041,0.032,0.03655839886712609
ey_from_cape_lag_e,levels,fixed12,rolling_30y,rolling_10y,avg_forecast_ey,0.05501858506012432,0.06576382384505948,676,376,0.041,0.032,0.036558398867129666
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current,avg_forecast_ey,0.056752334703343614,0.06727394692618643,676,376,0.041,0.032,0.038631429954864224
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current,avg_forecast_ey,0.056752334703343614,0.06727394692618643,676,376,0.041,0.032,0.038631429954864224
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current,terminal_ey,0.05654588478139646,0.06756893880327995,676,376,0.041,0.032,0.03881783019731948
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current,terminal_ey,0.05654588478139646,0.06756893880327995,676,376,0.041,0.032,0.03881783019731948
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,current,current_ey,0.058173853966720084,0.06709024549651997,676,376,0.041,0.032,0.039067462025018554
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,current,current_ey,0.058173853966720084,0.06709024549651997,676,376,0.041,0.032,0.039067462025018554
ey_from_exp_log_ey,levels,aic12,rolling_30y,current,current_ey,0.05731700171222374,0.06861656354499047,676,376,0.041,0.032,0.04008761991838675
ey_from_exp_log_ey,levels,fixed12,rolling_30y,current,current_ey,0.05731700171222374,0.06861656354499047,676,376,0.041,0.032,0.04008761991838675
ey_from_cape_lag_e,levels,fixed12,rolling_30y,current,current_ey,0.05731700171222432,0.06861656354499261,676,376,0.041,0.032,0.04008761991838893
ey_from_exp_log_ey,levels,fixed12,rolling_30y,rolling_10y,current_ey,0.05887226499044375,0.07028787986694336,676,376,0.041,0.032,0.04225375250311063
ey_from_exp_log_ey,levels,aic12,rolling_30y,rolling_10y,current_ey,0.05887226499044375,0.07028787986694336,676,376,0.041,0.032,0.04225375250311063
ey_from_cape_lag_e,levels,fixed12,rolling_30y,rolling_10y,current_ey,0.058872264990444526,0.07028787986694629,676,376,0.041,0.032,0.04225375250311361
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,terminal_ey,0.05734625769871682,0.07188914991424411,676,376,0.041,0.032,0.043108519130606884
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,terminal_ey,0.05734625769871682,0.07188914991424411,676,376,0.041,0.032,0.043108519130606884
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current,terminal_ey,0.05734625769871832,0.07188914991424729,676,376,0.041,0.032,0.043108519130610395
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,terminal_ey,0.0597962187766755,0.0729655464842657,676,376,0.041,0.032,0.0450718741462476
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,terminal_ey,0.0597962187766755,0.0729655464842657,676,376,0.041,0.032,0.0450718741462476
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,avg_forecast_ey,0.0600977719940769,0.07285795546463839,676,376,0.041,0.032,0.045100969167947175
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,avg_forecast_ey,0.0600977719940769,0.07285795546463839,676,376,0.041,0.032,0.045100969167947175
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,avg_forecast_ey,0.05890628359711849,0.0735554902939854,676,376,0.041,0.032,0.045249240500078565
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,avg_forecast_ey,0.05890628359711849,0.0735554902939854,676,376,0.041,0.032,0.045249240500078565
ey_from_cape_lag_e,levels,fixed12,rolling_10y,current,avg_forecast_ey,0.05890628359712076,0.07355549029398939,676,376,0.041,0.032,0.04524924050008312
ey_from_exp_log_ey,mixed_diff,fixed12,rolling_10y,rolling_10y,current_ey,0.06150764484694866,0.07274572426445663,676,376,0.041,0.032,0.045615540586555696
ey_from_exp_log_ey,mixed_diff,aic12,rolling_10y,rolling_10y,current_ey,0.06150764484694866,0.07274572426445663,676,376,0.041,0.032,0.045615540586555696
ey_from_exp_log_ey,levels,fixed12,rolling_10y,rolling_10y,terminal_ey,0.061347494440121345,0.07728545743975489,676,376,0.041,0.032,0.049646683529905804
ey_from_exp_log_ey,levels,aic12,rolling_10y,rolling_10y,terminal_ey,0.061347494440121345,0.07728545743975489,676,376,0.041,0.032,0.049646683529905804
ey_from_cape_lag_e,levels,fixed12,rolling_10y,rolling_10y,terminal_ey,0.061347494440123974,0.07728545743975998,676,376,0.041,0.032,0.04964668352991153
ey_from_exp_log_ey,levels,fixed12,rolling_10y,current,current_ey,0.06297889708315793,0.07825133093579206,676,376,0.041,0.032,0.051207983072214476
ey_from_exp_log_ey,levels,aic12,rolling_10y,current,current_ey,0.06297889708315793,0.07825133093579206,676,376,0.041,0.032,0.051207983072214476
